"rowId","form","hazardEstablished","expectation","authoredMissingFact","expectedAffectedDecision","acceptableSelectors","emittedQuestion","emittedAffectedDecision","survived","emittedEvidenceGap","emittedWhyItMatters","relatesToCandidateKey","namedCandidateState","issueCodes","candidateStates","candidateEvidenceBasis","candidateReasoning","explanationSummary","uncertaintyStatements"
"HS-A1","NOT_VISIBLE","true","REQUIRED","whether the grain dryer burner has a functioning flame-failure device","REQUIRED_CONTROL","whether a flame-failure device is fitted to the burner and is functioning  ||  whether the burner has been proved to shut off on loss of flame","(none emitted)","","","","","","","","auger_entanglement=ACTIVE | combustible_dust_accumulation=ACTIVE | flame_failure_device_unverifiable=INSUFFICIENT_EVIDENCE","[auger_entanglement] The text states an operative is actively clearing a blockage at the discharge auger while the dryer, and by implication its driven components, remain running.  ||  [combustible_dust_accumulation] The text states grain dust has settled on horizontal surfaces of the walkway and on motor housings.  ||  [flame_failure_device_unverifiable] The text states the flame-failure device and its wiring cannot be seen from the walkway due to the shroud.","[auger_entanglement] Clearing a blockage at an auger while it and the associated equipment are running exposes the operative to entanglement/caught-in injury from the moving auger flighting or drive components. This is a current, ongoing exposure, not a hypothetical.  ||  [combustible_dust_accumulation] Accumulated grain dust on horizontal surfaces, including on motor housings near a heat source (the dryer/burner), is a recognized combustible dust hazard that can propagate a secondary dust explosion or ignite from hot equipment surfaces.  ||  [flame_failure_device_unverifiable] The flame-failure device is a critical safety control preventing unburned fuel accumulation and explosion in the burner/plenum. Its condition and function cannot be visually confirmed from the walkway, so whether it is operating correctly cannot be determined from this observation alone.","An operative is clearing a blockage at the discharge auger while the dryer continues to run, creating an active entanglement hazard. Grain dust has settled on walkway surfaces and motor housings, a combustible dust accumulation that is worsened by proximity to heat-generating equipment near the burner. The flame-failure device and its wiring cannot be visually confirmed from the walkway, so its current functional status is unverifiable from this observation alone, though this alone does not establish a decision-changing gap without further stated facts.","Whether the flame-failure device is currently functioning correctly cannot be determined from the observation, as it is physically obscured from view; no stated fact indicates it has failed or is out of service."
"HS-B1","RETAINED_CANDIDATE_SHAPED","true","REQUIRED","whether the line set is currently balanced against the weight already loaded on the cradle","REQUIRED_CONTROL","whether the line set is balanced between the cradle and the bar  ||  whether the bar stage-side is loaded to match the counterweights being added  ||  whether the deck below the bar is kept clear while the set is being loaded","Is any counterweight actually being added to or removed from the cradle while the rope lock is engaged, or is loading occurring only while the line is otherwise secured from movement (e.g., additional belay, brake, or the line set stationary during loading)?","EXPOSURE","SURVIVED","Whether the counterweight loading activity itself could cause the line/bar to move while crew are on the deck below, or whether the rope lock plus loading procedure fully prevents any movement during this operation.","If counterweights are being loaded while the line's only restraint is the rope lock and that lock could slip or be released under active load changes, the scenery bar over the crew below could move or fall, requiring the deck below to be cleared or the operation to be re-sequenced; if loading is performed with the line otherwise secured and stationary such that no uncontrolled movement can occur, the current operation does not require a change and can continue as configured.","suspended_scenery_bar_over_workers","ACTIVE","CANDIDATE_MALFORMED","suspended_scenery_bar_over_workers=ACTIVE | pin_rail_unattended_during_loading=INSUFFICIENT_EVIDENCE | counterweight_loading_gallery_fall_exposure=UNKNOWN","[suspended_scenery_bar_over_workers] The observation states a scenery bar is suspended on the line set stage-side and that two stage crew are working on the deck directly below that bar.  ||  [pin_rail_unattended_during_loading] The observation states that nobody is currently standing at the pin rail while counterweights are being loaded onto the cradle and a rope lock secures the line set.  ||  [counterweight_loading_gallery_fall_exposure] ","[suspended_scenery_bar_over_workers] A suspended scenery bar hangs on a line set that is simultaneously being loaded with counterweights at the gallery, while two workers occupy the deck space beneath the bar. Any uncontrolled movement of the line (e.g., from the counterweight loading being underway, or unexpected release) would create a struck-by/falling-load exposure for the crew working directly below.  ||  [pin_rail_unattended_during_loading] The pin rail is typically where a line set's operating line is secured and monitored; with counterweights actively being added at the gallery and no one stationed at the pin rail, there may be a reduced ability to respond to or control unexpected movement of the line, though the rope lock is stated as engaged.  ||  [counterweight_loading_gallery_fall_exposure] Loading galleries in fly towers are typically elevated, open-edged work platforms; the technician is working at gallery level handling counterweights, which could involve a fall exposure if the gallery edge is unprotected. The observation does not describe the gallery's edge protection, so this is inferred from the nature of the task rather than stated directly.","A scenery bar is suspended stage-side on a line set that is currently being loaded with counterweights at the gallery, while two stage crew work on the deck directly beneath that bar — a suspended-load exposure over occupied space. No one is stationed at the pin rail during this loading activity, which may reduce the ability to respond to unexpected line movement, though the rope lock is stated as engaged. Whether the loading operation itself could cause line movement while the rope lock is the only restraint is not established and would determine whether the crew below need to be relocated or the sequence changed.","The physical configuration and edge protection of the loading gallery is not described, so whether a fall exposure exists for the technician cannot be confirmed from the observation alone."
"HS-C1","OBSERVER_CANNOT_DETERMINE","true","REQUIRED","what the ferromagnetic screening recorded for this patient","REQUIRED_CONTROL","what the ferromagnetic screening questionnaire recorded for this patient  ||  whether this patient has been screened for ferromagnetic implants by any means available now","Has the patient's ferromagnetic screening content (implants, metal objects, prior surgeries) been verified by suite staff through any means (direct questioning, re-screening, or confirmed retrieval of the ward's questionnaire) before the patient proceeds past the door into the scanner room?","REQUIRED_CONTROL","SURVIVED","Whether the ferromagnetic screening questionnaire content has been or will be verified by suite staff before the patient enters the scanner room is not stated.","If verification is obtained or performed before entry, the patient can proceed safely and no further action is needed; if the patient enters or the scan proceeds with the screening outcome still unconfirmed, there is an uncontrolled risk of ferromagnetic projectile or implant interaction and the scan must be held until screening is completed or repeated.","cand-1","ACTIVE","","cand-1=ACTIVE","[cand-1] The observation states the completed screening questionnaire has not arrived with the notes and that nobody in the suite can confirm what it recorded, meaning the ferromagnetic screening outcome for this specific patient is currently unverified by suite staff.","[cand-1] MRI screening for ferromagnetic objects/implants is a procedural safeguard against projectile and implant-interaction hazards in the MRI environment. The patient is already positioned at the scanner room door with the questionnaire outcome unconfirmed by anyone present, so the procedural control that would normally establish the patient is safe to proceed has not been completed at the point where the patient is staged for entry.","The deterministic finding confirms the door interlock and controlled-area signage are active and functioning. Separately, the observation establishes that the patient's ferromagnetic screening questionnaire has not reached the suite and nobody present can confirm its contents, while the patient is already staged at the scanner room door — this is a procedural safeguard gap distinct from the physical interlock control. Whether staff verify screening status before the patient enters the room is not stated and is decision-critical: it determines whether the scan can proceed or must be held.",""
"HS-D1","AGGREGATION_AGAINST_A_RECORD","false","REQUIRED","the aggregate quantity of Class IA liquid present in this fire area, counting every container","REGULATORY_INTERPRETATION","the aggregate quantity of Class IA liquid in this fire area  ||  the number and size of the further containers on the racking","What is the total aggregate quantity of the Class IA solvent-based cleaner (all containers, including those on the racking) currently present in this fire area?","REQUIRED_CONTROL","SURVIVED","The total aggregate quantity of Class IA liquid (fill level of the two floor drums plus the number and size of containers on the racking) in this fire area is not stated.","The supplied record caps aggregate Class IA liquid outside an inside storage room or cabinet in one fire area at 25 gallons. Two part-full 25 litre drums already total up to about 13 gallons combined depending on fill level, and an unknown further quantity sits on the racking. If the aggregate is at or below 25 gallons, storage is within the governed limit and no quantity-based corrective action is triggered under R1; if it exceeds 25 gallons, the record's limit is breached and containers must be removed or relocated to an inside storage room or cabinet to bring the fire area into compliance. The observation itself states the count is not recorded, so this is currently unresolved and directly determines which of those two outcomes applies.","C1","ACTIVE","","C1=ACTIVE | C2=ACTIVE","[C1] The text establishes multiple containers of a Class IA flammable liquid stored on the floor and on racking in a single fire area with no inside storage room or storage cabinet present, and states the total container count is not recorded.  ||  [C2] The text establishes that chlorine and acid supplies are held in the same room as a flammable solvent-based cleaner, within a single shared fire compartment with the plant room.","[C1] Class IA liquids are highly flammable, and the supplied governed record caps the aggregate quantity of Class IA liquid stored outside an inside storage room or cabinet in one fire area at 25 gallons. Two part-full 25 litre drums plus an unrecorded further quantity on racking, with no inside storage room or cabinet present, places a flammable liquid storage hazard squarely in the fire area; whether the aggregate exceeds the governed limit cannot be determined from the stated facts but the underlying flammable-storage hazard is active regardless.  ||  [C2] Chlorine and acid are incompatible with, and can react hazardously with, organic solvent-based products if mixed or if a fire/heat event occurs; co-location of oxidizing/corrosive pool chemicals with a flammable Class IA solvent in one undivided compartment raises a chemical release/incompatibility exposure distinct from the simple fire loading question.","The dosing room stores an unrecorded total quantity of a Class IA flammable solvent cleaner on the floor and on racking, with no inside storage room or storage cabinet present, which is the exact condition the supplied record governs by aggregate quantity — but the aggregate is not stated, so whether the governed 25-gallon limit is met or exceeded cannot currently be determined and is asked as a blocking clarification. The same undivided fire compartment also holds the pool's chlorine and acid supply alongside the flammable solvent, an interaction that would make a fire or chemical incident in this room worse than either hazard occurring alone. No deterministic findings were provided to compare against, so these are raised as additional expert observations.",""
"HS-E1","PRIOR_EVENT","true","REQUIRED","whether the guard interlock was function-tested after the overnight rotor tooth change","REQUIRED_CONTROL","whether the guard interlock was function-tested after the rotor work  ||  whether the rotor was proved to stop when the guard is opened","(none emitted)","","","","","","","","","","","The observation describes a debarker with its guard door closed and interlock in place while the sawyer works from the deck without reaching into the throat — a controlled, current state with no stated gap. The overnight rotor tooth change is a resolved historical event: the machine was returned to service, the guard is confirmed closed with the interlock engaged, and no failure, bypass, or residual exposure from that maintenance is stated. The lockout/tagout question already flagged by the deterministic engine concerns that completed maintenance activity, not a live hazard, and nothing in the text gives reason to believe the machine is not properly restored to normal operation.",""
"HS-F1","LIKELY_BUT_UNESTABLISHED","true","REQUIRED","whether the lance has a functioning dead-man or dump-valve control","REQUIRED_CONTROL","whether the lance is fitted with a functioning dead-man or dump-valve control  ||  whether the jet stops when the operative releases the trigger","Has the footpath beneath the jetting work been closed, barricaded, or is there an active traffic/pedestrian control measure in place at the near end, despite being described as open at the far end?","EXPOSURE","SURVIVED","Whether any pedestrian exclusion, barrier, or diversion control exists at the open (far) end of the footpath during the jetting operation.","If the path is fully closed or controlled with a diversion so no pedestrian can actually enter the zone beneath the work, the struck-by exposure to the public is not currently realized and no additional control is needed; if it remains open with pedestrians able to walk beneath the jetting, an immediate exclusion zone, barrier, or overhead protection is required before work continues.","cand-struck-by-pedestrian","ACTIVE","","cand-struck-by-pedestrian=ACTIVE | cand-noise-exposure=ACTIVE","[cand-struck-by-pedestrian] The text establishes that high-pressure hydro-demolition of concrete is being performed directly above a footpath that is currently open to pedestrians.  ||  [cand-noise-exposure] The text establishes concurrent high-pressure jetting against concrete and a running combustion engine pump in close proximity to the two operatives on the deck.","[cand-struck-by-pedestrian] High-pressure jetting of a concrete soffit generates dislodged concrete debris and pressurized water spray falling from height. With the footpath below open to pedestrian access, there is a current struck-by/falling-debris exposure to members of the public passing beneath the work area, independent of the fall protection and hydraulic energy hazards already identified for the operatives on the scaffold.  ||  [cand-noise-exposure] High-pressure hydro-demolition lances combined with a running engine-driven pump are characteristic high-noise-generating operations. The operatives are described wearing helmets and visors but no hearing protection is mentioned, and their proximity to both noise sources on the deck suggests a current noise exposure.","Beyond the identified fall protection and hydraulic energy hazards affecting the two operatives, the observation establishes a current struck-by/debris exposure to pedestrians on the footpath beneath the jetting work, since that path is described as open at the far end. A possible noise exposure from the combination of the high-pressure lance and the running pump engine is also flagged with low confidence, as no hearing protection is mentioned. The interaction between the fall hazard and the reactive force of the pressurized lance is worse than either alone, since a loss of balance while operating a live high-pressure jet compounds both fall severity and uncontrolled discharge risk. A clarification is needed on whether the pedestrian path is actually controlled or exclusion-zoned during this work, as this determines whether immediate action is required to protect the public.",""
"HS-G1","SYSTEM_COVERAGE","false","REQUIRED","whether the depot fire strategy was reassessed for the container's position relative to the workshop openings","APPLICABILITY","whether the depot fire strategy was reassessed when the container was installed  ||  what separation the fire strategy requires between such a container and workshop openings","Does the depot fire strategy (or any other current emergency response plan) account for the battery energy storage container, its gas detection/ventilation systems, and its location relative to the workshop personnel door and window?","APPLICABILITY","SURVIVED","Whether any current emergency/fire response plan (beyond the outdated wall-posted strategy) incorporates the new container and its location.","If the fire strategy has been updated or a separate risk assessment covers the container despite the wall-mounted copy being outdated, then emergency response and evacuation routing already account for the new hazard and no immediate corrective action is needed beyond replacing the posted document. If no current plan accounts for the container at all, then responders and building occupants have no guidance reflecting a fire/explosion/gas-release source directly adjacent to an occupied workshop entrance, which would require an immediate interim control (e.g., updated evacuation routing, temporary signage, or restricting use of that door) rather than a routine document update.","","","","cand-fire-1=ACTIVE | cand-emergency-1=INSUFFICIENT_EVIDENCE","[cand-fire-1] The observation establishes the battery energy storage container is positioned roughly four metres from a workshop wall that has a personnel door and window opening directly onto the yard where the container sits.  ||  [cand-emergency-1] The posted fire strategy document depicts the yard layout as it existed prior to the container's installation, meaning the current site configuration is not reflected in that document.","[cand-fire-1] Battery energy storage systems present thermal runaway / fire and explosion risk (off-gassing, jet-flame venting). A separation distance of only about four metres from a building wall containing a personnel door and window creates a current exposure pathway for fire, explosive off-gas, or thermal event effects to reach the workshop interior and any occupants using that door or window, given no fire-rated separation, bollards, or barrier is described.  ||  [cand-emergency-1] A fire strategy/plan that does not reflect a new fixed installation (the BESS container, its ventilation louvres, gas detection head, and its proximity to the workshop wall) may mean evacuation routes, muster points, fire service access, or hazard zone markings shown on that strategy no longer correspond to the current yard layout. Whether this constitutes a live emergency-planning gap cannot be determined from the observation alone.","The newly installed battery energy storage container sits only about four metres from a workshop wall with a personnel door and window, raising a fire/explosion exposure pathway into an occupied space that is additional to the deterministic findings. The posted fire strategy predates the container's arrival, leaving it unclear whether any current emergency plan reflects the container's presence and hazards, which is a decision-critical gap for emergency response applicability. The proximity of the container to the workshop opening, combined with the site's already-active atmospheric hazard, could compound a gas or thermal event before it is contained or detected.",""
"HS-H1","WORST_CASE_TEMPTATION","true","REQUIRED","whether the load was given a cooling hold appropriate to its contents before the door was opened","REQUIRED_CONTROL","whether the load was given a cooling hold before the door was opened  ||  whether this was a liquid cycle requiring a cooling hold  ||  whether the load temperature was checked before the door was opened","(none emitted)","","","","","","","","cand-thermal=ACTIVE | cand-pressure-verify=INSUFFICIENT_EVIDENCE","[cand-thermal] The technician is wearing heat-resistant gloves while opening the door of an autoclave immediately after a cycle, indicating recognition of residual heat as the load and chamber contents are removed.  ||  [cand-pressure-verify] The gauge reading is stated as zero, but the observation does not state whether this reading was cross-checked or whether the gauge itself is functioning correctly.","[cand-thermal] An autoclave load and chamber surfaces remain hot immediately after a cycle even when pressure has returned to zero; opening the door and handling the trolley at this point exposes the technician to contact burn hazards from hot surfaces, steam residue, or the load itself.  ||  [cand-pressure-verify] Residual chamber pressure during door opening is a known autoclave hazard; a faulty or unverified gauge reading zero when actual pressure is not zero would create a real exposure. The interlock releasing and the gauge reading zero both support a de-pressurized state, but gauge malfunction is a recognized failure mode.","Beyond the identified interlock and suspended-load hazards, the technician's use of heat-resistant gloves while opening the autoclave door right after cycle completion points to a current thermal burn hazard from hot chamber surfaces or load contents, which is added as a candidate. The pressure gauge reading zero supports a de-pressurized chamber, but this is a routine reliance on instrument accuracy that does not by itself change any action, so it is noted only as a low-confidence candidate rather than a clarification. No cross-hazard interaction rises above the interlock/thermal proximity noted, and no regulatory record was supplied to assess against, so no citation or applicability determination is made.","Whether the over-temperature alarm's silence throughout the observed cycle reflects a normal (non-alarming) run or an alarm malfunction cannot be determined from the observation alone, though this does not change the present door-opening exposure being assessed."
"HS-J1","EXPLICITLY_PRESENT","false","FORBIDDEN","is the breathing air actually clean, and has the booth extract been quantitatively tested rather than just indicated?","NONE_OWED","","(none emitted)","","","","","","","","cand-1=CONTROLLED | cand-2=INSUFFICIENT_EVIDENCE","[cand-1] The observation shows the sprayer wearing supplied-air respiratory protection while spraying, with the booth extract running and airflow confirmed in the green band, indicating the inhalation exposure from spray paint aerosols/solvents is being actively controlled.  ||  [cand-2] The observation describes spray painting operations and extract ventilation but does not mention any ignition source controls, static grounding, or explosive atmosphere monitoring.","[cand-1] Spray painting generates airborne solvent vapours and overspray particulates that would otherwise pose an inhalation hazard; the observation establishes both engineering control (booth extract with confirmed airflow) and PPE (air-fed hood) are in place and functioning, so the underlying chemical inhalation hazard is present but currently controlled rather than an uncontrolled active exposure.  ||  [cand-2] Paint spray booths handling solvent-based coatings can generate flammable vapour concentrations; while the running extract fan reduces this risk, the observation gives no information about coating type (solvent vs water-based), grounding/bonding of equipment, or ignition source control, so the current state of this hazard cannot be determined from the text.","The core hazard here — chemical inhalation exposure from spray-applied coatings — is currently controlled: booth extract airflow was confirmed in the green band, the fan/gun interlock was demonstrated to function, and the sprayer wears an air-fed hood with a breathing-air filter change record signed current for this month. No decision-critical fact is missing given the controls demonstrated in the observation, so no clarification is raised. A low-confidence, ungrounded fire/explosion possibility from solvent vapour is noted for completeness given the spray booth context, though the observation gives no basis to assess it further.","The coating type (solvent-based vs water-based) and any bonding/grounding or ignition-source controls in the booth are not described, leaving the flammable-atmosphere risk unassessed, though this does not change the currently observed and controlled inhalation exposure."
"HS-K1","EXPLICITLY_ABSENT","true","FORBIDDEN","could a light or viewing panel be fitted, and what blast media is in use?","NONE_OWED","","(none emitted)","","","","","","","","","","","placeholder",""
